extracurricularactivities,skills,location,yearofstudy,subjects,gpa,languages,clubmemberships,interestarea,gender
Volunteer Group,"Public Speaking, Data Analysis, Programming, Leadership, Artistic",Tripura,Junior,Mathematics,7.18,"English, French","Debate Club, Volunteer Group, Coding Club, Sports Team, Music Club, Art Club",Mathematics,Male
Coding Club,"Public Speaking, Problem Solving, Data Analysis, Artistic",Uttar Pradesh,Freshman,Physics,5.16,"German, Spanish","Volunteer Group, Coding Club, Art Club, Sports Team, Debate Club",Biology,Male
Volunteer Group,"Data Analysis, Leadership, Problem Solving, Programming",Uttarakhand,Sophomore,History,6.48,Spanish,"Coding Club, Volunteer Group, Debate Club, Sports Team, Music Club, Art Club",Computer science,Female
Art Club,"Artistic, Programming, Problem Solving, Public Speaking, Leadership",West Bengal,Graduate,Mathematics,4.22,"Chinese, Japanese, German","Music Club, Volunteer Group, Art Club, Sports Team, Debate Club, Coding Club",History,Male
Art Club,"Artistic, Data Analysis, Programming, Leadership, Problem Solving",Andhra Pradesh,Senior,Computer Science,4.86,"Chinese, French, German, Spanish, Japanese, English","Art Club, Coding Club, Music Club, Debate Club, Sports Team",Biology,Female
Debate Club,"Programming, Public Speaking, Artistic",Arunachal Pradesh,Graduate,Mathematics,5.12,"English, Japanese","Coding Club, Art Club, Debate Club, Sports Team, Music Club, Volunteer Group",Computer science,Male
Debate Club,Public Speaking,Assam,Freshman,Psychology,7.52,"Japanese, French, Spanish, Chinese, English","Debate Club, Music Club, Volunteer Group",Mathematics,Male
Music Club,"Artistic, Public Speaking, Leadership, Problem Solving, Programming",Andaman & Nicobar Islands,Sophomore,Mathematics,7.6,"German, Spanish, French, English","Coding Club, Volunteer Group, Sports Team, Music Club, Debate Club, Art Club",Mathematics,Male
Art Club,"Leadership, Programming, Artistic, Public Speaking",Chandigarh,Sophomore,History,4.64,"Japanese, Spanish, German","Coding Club, Art Club, Sports Team, Debate Club, Music Club",History,Male
Music Club,"Leadership, Programming, Data Analysis",Dadra & Nagar Haveli and Daman & Diu,Junior,Biology,4.74,"English, German, French, Chinese, Japanese, Spanish","Music Club, Art Club, Debate Club, Sports Team, Volunteer Group, Coding Club",History,Female
Debate Club,"Public Speaking, Problem Solving, Leadership, Artistic",Delhi,Senior,Biology,7.1,German,"Music Club, Sports Team, Debate Club, Coding Club",Computer science,Female
Volunteer Group,"Programming, Data Analysis",Jammu & Kashmir,Freshman,Psychology,7.52,"Chinese, Japanese, German, Spanish","Music Club, Sports Team, Coding Club",Computer science,Male
Volunteer Group,"Artistic, Public Speaking, Programming, Problem Solving, Leadership",Ladakh,Senior,Biology,7.5,"English, German, French, Chinese, Japanese, Spanish",Debate Club,Mathematics,Male
Coding Club,"Problem Solving, Leadership, Public Speaking",Lakshadweep,Sophomore,Computer Science,5.96,"French, Japanese, Chinese, Spanish","Music Club, Sports Team, Coding Club, Art Club",Mathematics,Female
Coding Club,"Artistic, Leadership, Public Speaking",Puducherry,Senior,Physics,4.34,"English, Japanese",Music Club,Biology,Male
Sports Team,"Public Speaking, Artistic",Bihar,Freshman,Biology,5.9,"English, Japanese, Chinese, German, Spanish, French",Sports Team,Computer science,Male
Music Club,"Data Analysis, Problem Solving",Chhattisgarh,Graduate,Mathematics,4.42,"Japanese, French, Chinese, German, Spanish, English","Debate Club, Art Club, Volunteer Group, Sports Team",History,Male
Coding Club,"Public Speaking, Problem Solving, Leadership",Goa,Senior,History,4.74,Japanese,"Debate Club, Music Club, Art Club, Coding Club, Sports Team, Volunteer Group",History,Female
Debate Club,"Leadership, Programming, Problem Solving, Artistic, Public Speaking",Gujarat,Graduate,Computer Science,5.94,"Spanish, German","Art Club, Sports Team, Debate Club, Coding Club",History,Female
Music Club,"Public Speaking, Leadership, Problem Solving, Programming, Data Analysis, Artistic",Haryana,Graduate,History,6.7,Spanish,"Art Club, Music Club, Coding Club, Volunteer Group, Sports Team, Debate Club",History,Female
Debate Club,Data Analysis,Himachal Pradesh,Freshman,Biology,6.46,"English, German, Spanish","Art Club, Coding Club, Volunteer Group, Debate Club, Music Club",Computer science,Male
Music Club,"Problem Solving, Data Analysis, Leadership, Public Speaking, Artistic, Programming",Jharkhand,Junior,Mathematics,7.68,"Chinese, German, French, English","Coding Club, Volunteer Group",Mathematics,Male
Coding Club,"Problem Solving, Artistic, Programming, Data Analysis",Karnataka,Graduate,Mathematics,7.68,"English, German, Spanish, Japanese","Debate Club, Coding Club, Sports Team, Music Club, Volunteer Group",Computer science,Female
Volunteer Group,Data Analysis,Kerala,Sophomore,Psychology,7.6,"French, English, German, Spanish, Japanese, Chinese","Coding Club, Sports Team, Music Club, Debate Club",Mathematics,Female
Art Club,Artistic,Madhya Pradesh,Senior,Physics,5.46,"English, German","Sports Team, Music Club, Art Club, Debate Club, Coding Club",History,Female
Art Club,Problem Solving,Maharashtra,Senior,Mathematics,6.14,"Chinese, German, French, Spanish, English, Japanese","Sports Team, Volunteer Group",Computer science,Female
Art Club,Programming,Manipur,Junior,Biology,7.7,"Japanese, English, Chinese, French, Spanish, German","Volunteer Group, Music Club, Sports Team",Mathematics,Male
Volunteer Group,"Public Speaking, Problem Solving, Leadership, Data Analysis, Artistic, Programming",Meghalaya,Graduate,Physics,5.7,"French, English, Chinese, Japanese, German","Volunteer Group, Debate Club, Coding Club, Sports Team, Music Club",History,Female
Music Club,"Artistic, Data Analysis, Programming, Leadership",Mizoram,Sophomore,Biology,6.2,"Japanese, English, French, German, Spanish","Volunteer Group, Coding Club, Debate Club",Biology,Male
Debate Club,Leadership,Nagaland,Graduate,Computer Science,7.92,"Spanish, Chinese","Volunteer Group, Art Club, Coding Club, Sports Team, Music Club",Mathematics,Female
Music Club,"Data Analysis, Public Speaking, Leadership",Odisha,Graduate,Mathematics,7.88,"German, Chinese","Sports Team, Art Club",Computer science,Male
Volunteer Group,Leadership,Punjab,Graduate,Psychology,5.66,"French, German, Japanese, English, Chinese",Volunteer Group,History,Female
Volunteer Group,"Public Speaking, Problem Solving, Artistic, Data Analysis, Programming, Leadership",Rajasthan,Freshman,History,7.46,German,"Sports Team, Coding Club, Debate Club, Volunteer Group, Music Club",Computer science,Female
Art Club,"Leadership, Public Speaking",Sikkim,Graduate,Mathematics,6.38,"Chinese, English, Spanish, Japanese, French, German","Volunteer Group, Sports Team, Music Club, Debate Club, Art Club, Coding Club",Computer science,Female
Volunteer Group,Public Speaking,Tamil Nadu,Graduate,Psychology,5.94,"English, French","Music Club, Debate Club, Art Club, Coding Club",Mathematics,Female
Art Club,"Data Analysis, Public Speaking, Leadership, Artistic, Problem Solving",Telangana,Sophomore,History,4.16,"Spanish, English, German","Music Club, Volunteer Group, Coding Club, Art Club",History,Male
Art Club,Programming,Tripura,Sophomore,Biology,6.56,"German, Chinese","Coding Club, Music Club, Sports Team, Volunteer Group, Art Club",History,Female
Music Club,"Problem Solving, Public Speaking, Data Analysis, Artistic, Programming, Leadership",Uttar Pradesh,Senior,Physics,6.6,"Spanish, French, German","Sports Team, Music Club, Debate Club, Art Club",Biology,Male
Art Club,"Problem Solving, Data Analysis, Public Speaking, Artistic",Uttarakhand,Graduate,Psychology,5.02,Spanish,"Sports Team, Music Club, Coding Club",Biology,Male
Music Club,"Problem Solving, Public Speaking, Artistic",West Bengal,Graduate,History,4.54,"Japanese, German","Sports Team, Art Club, Volunteer Group",History,Male
Art Club,Artistic,Andhra Pradesh,Graduate,Computer Science,6.34,"Chinese, Japanese","Volunteer Group, Debate Club",Computer science,Male
Volunteer Group,"Problem Solving, Public Speaking, Programming, Data Analysis, Artistic",Arunachal Pradesh,Junior,Physics,7.14,"English, German, Japanese, French, Spanish","Coding Club, Music Club, Volunteer Group, Sports Team, Art Club, Debate Club",Mathematics,Female
Debate Club,"Leadership, Problem Solving, Data Analysis",Assam,Sophomore,Physics,5.62,"Spanish, German","Debate Club, Art Club",Mathematics,Male
Music Club,"Leadership, Public Speaking, Artistic, Problem Solving, Programming, Data Analysis",Andaman & Nicobar Islands,Senior,Psychology,6.12,"German, Japanese, French, Spanish, Chinese, English","Music Club, Debate Club",History,Male
Volunteer Group,"Data Analysis, Problem Solving",Chandigarh,Sophomore,History,6.96,"Spanish, French, Chinese, English, Japanese","Volunteer Group, Debate Club, Art Club",Mathematics,Male
Art Club,"Problem Solving, Artistic, Public Speaking, Programming, Leadership",Dadra & Nagar Haveli and Daman & Diu,Sophomore,Mathematics,6.16,"German, French, Chinese","Art Club, Volunteer Group, Music Club",History,Female
Art Club,"Programming, Artistic, Leadership, Data Analysis, Problem Solving, Public Speaking",Delhi,Junior,History,6.64,"German, English, Spanish, French, Chinese, Japanese","Debate Club, Coding Club, Volunteer Group, Sports Team, Art Club, Music Club",Mathematics,Female
Debate Club,"Problem Solving, Programming",Jammu & Kashmir,Senior,Psychology,5.72,Chinese,"Art Club, Volunteer Group, Debate Club, Coding Club",Biology,Female
Debate Club,"Data Analysis, Leadership",Ladakh,Junior,Psychology,7.3,"Chinese, German, Japanese","Volunteer Group, Art Club",Computer science,Female
Music Club,"Problem Solving, Programming",Lakshadweep,Graduate,Computer Science,5.46,Spanish,"Debate Club, Music Club, Coding Club, Volunteer Group, Sports Team",History,Male
Art Club,"Programming, Leadership",Puducherry,Senior,History,4.28,"English, Spanish","Music Club, Volunteer Group, Debate Club, Coding Club, Art Club",History,Male
Debate Club,"Artistic, Problem Solving",Bihar,Senior,Biology,4.3,"Japanese, German, English, French","Debate Club, Art Club, Sports Team, Music Club, Volunteer Group",Biology,Female
Music Club,"Public Speaking, Leadership, Data Analysis, Problem Solving, Artistic",Chhattisgarh,Senior,Computer Science,4.1,"Spanish, Chinese, German","Art Club, Sports Team, Music Club, Coding Club",Biology,Male
Debate Club,"Problem Solving, Public Speaking, Data Analysis, Artistic, Programming",Goa,Graduate,Psychology,4.6,"Chinese, German",Music Club,History,Male
Music Club,"Artistic, Data Analysis, Programming",Gujarat,Senior,Biology,7.72,"Chinese, German, Spanish, Japanese, French, English",Debate Club,Computer science,Male
Music Club,"Artistic, Public Speaking",Haryana,Graduate,Physics,6.96,"English, Spanish, French, Chinese","Music Club, Coding Club, Art Club",Computer science,Female
Art Club,"Problem Solving, Public Speaking, Artistic, Leadership, Programming, Data Analysis",Himachal Pradesh,Graduate,Mathematics,6.9,"English, Spanish","Volunteer Group, Music Club, Art Club, Sports Team, Debate Club",Computer science,Female
Music Club,"Public Speaking, Problem Solving, Leadership, Data Analysis, Artistic",Jharkhand,Junior,Mathematics,5.28,"Chinese, German, Spanish","Debate Club, Volunteer Group, Coding Club, Music Club, Art Club, Sports Team",Biology,Male
Coding Club,"Problem Solving, Data Analysis, Leadership, Public Speaking, Artistic",Karnataka,Graduate,Computer Science,4.98,"Japanese, French, Spanish, German, Chinese, English","Coding Club, Volunteer Group, Debate Club, Music Club, Sports Team",History,Female
Music Club,Leadership,Kerala,Freshman,Physics,4.2,"French, English, Japanese, Chinese, German","Debate Club, Music Club",History,Female
Volunteer Group,"Artistic, Data Analysis, Leadership, Public Speaking, Problem Solving",Madhya Pradesh,Freshman,Mathematics,7.98,"German, Spanish, Japanese, French","Music Club, Sports Team, Volunteer Group, Debate Club, Coding Club, Art Club",Mathematics,Female
Sports Team,"Leadership, Problem Solving",Maharashtra,Junior,Mathematics,7.78,"English, French, Chinese, Spanish, German","Volunteer Group, Debate Club, Music Club, Sports Team",Computer science,Female
Sports Team,"Data Analysis, Programming, Problem Solving, Public Speaking, Artistic, Leadership",Manipur,Junior,Physics,7.58,"German, English, Spanish, Japanese, French, Chinese","Art Club, Coding Club, Debate Club, Sports Team",Mathematics,Female
Volunteer Group,"Leadership, Problem Solving, Public Speaking, Programming, Artistic, Data Analysis",Meghalaya,Graduate,Mathematics,4.8,"Spanish, English","Debate Club, Volunteer Group, Music Club, Sports Team, Coding Club, Art Club",Biology,Male
Music Club,"Data Analysis, Problem Solving, Public Speaking, Programming, Leadership",Mizoram,Sophomore,Biology,7.4,Chinese,Art Club,Mathematics,Female
Art Club,Programming,Nagaland,Freshman,Psychology,4.3,"English, German, Japanese, Chinese","Volunteer Group, Art Club",History,Male
Art Club,"Artistic, Public Speaking, Leadership, Data Analysis",Odisha,Graduate,Mathematics,5.18,"Japanese, Chinese, Spanish, English, French, German",Sports Team,History,Male
Music Club,"Artistic, Public Speaking, Leadership, Programming, Problem Solving, Data Analysis",Punjab,Junior,History,5.94,Chinese,"Sports Team, Volunteer Group, Art Club",Computer science,Female
Sports Team,"Artistic, Programming, Public Speaking, Data Analysis, Problem Solving",Rajasthan,Sophomore,Psychology,4.46,"French, German, Chinese","Music Club, Debate Club, Volunteer Group, Art Club, Coding Club",History,Male
Debate Club,"Artistic, Leadership",Sikkim,Graduate,Psychology,4.04,"Spanish, Chinese, German",Coding Club,History,Male
Music Club,Public Speaking,Tamil Nadu,Graduate,History,6.88,"English, Chinese, Japanese, Spanish","Coding Club, Art Club, Music Club",Mathematics,Male
Music Club,"Artistic, Programming, Problem Solving, Leadership, Public Speaking, Data Analysis",Telangana,Junior,Biology,5.5,"Chinese, German, Spanish, Japanese, English, French","Volunteer Group, Sports Team, Art Club",History,Female
Sports Team,Artistic,Tripura,Sophomore,Physics,5.34,German,"Art Club, Volunteer Group, Sports Team, Debate Club, Music Club, Coding Club",Computer science,Female
Debate Club,"Data Analysis, Artistic, Problem Solving, Leadership, Programming, Public Speaking",Uttar Pradesh,Graduate,Biology,4.74,Japanese,"Music Club, Art Club, Debate Club, Sports Team, Coding Club, Volunteer Group",History,Male
Coding Club,"Data Analysis, Problem Solving, Programming",Uttarakhand,Junior,History,4.92,"Chinese, Japanese, English, Spanish","Art Club, Volunteer Group, Sports Team, Coding Club, Debate Club",Biology,Female
Coding Club,"Data Analysis, Artistic, Public Speaking, Programming",West Bengal,Graduate,Biology,4.78,"German, Japanese, French, English, Spanish",Volunteer Group,History,Female
Debate Club,"Artistic, Programming",Andhra Pradesh,Sophomore,History,7.62,"German, English, Chinese, Spanish, French, Japanese","Music Club, Volunteer Group, Debate Club, Sports Team, Art Club",Mathematics,Female
Music Club,"Leadership, Data Analysis, Public Speaking",Arunachal Pradesh,Junior,Biology,5.44,"English, Chinese",Coding Club,Biology,Female
Debate Club,"Leadership, Data Analysis, Problem Solving",Assam,Senior,History,7.3,"English, Spanish, Japanese, Chinese",Volunteer Group,Mathematics,Male
Volunteer Group,"Public Speaking, Programming, Artistic, Leadership",Andaman & Nicobar Islands,Junior,Psychology,5.48,"French, German, Chinese, Spanish","Music Club, Coding Club, Volunteer Group, Debate Club, Sports Team",Mathematics,Male
Coding Club,"Leadership, Public Speaking",Chandigarh,Senior,Computer Science,7.24,"French, Japanese, Spanish","Volunteer Group, Art Club",Mathematics,Female
Art Club,"Artistic, Leadership",Dadra & Nagar Haveli and Daman & Diu,Junior,Psychology,7.94,"Chinese, French, Spanish, German, Japanese, English","Coding Club, Debate Club, Volunteer Group, Art Club, Music Club, Sports Team",Mathematics,Female
Music Club,"Data Analysis, Programming, Public Speaking, Leadership, Artistic",Delhi,Freshman,Mathematics,5.92,"Spanish, English, French, Japanese, Chinese","Music Club, Art Club, Sports Team",Mathematics,Male
Music Club,Problem Solving,Jammu & Kashmir,Freshman,Computer Science,4.44,"German, English, Japanese, French, Chinese, Spanish","Music Club, Debate Club, Sports Team, Art Club, Coding Club",Biology,Male
Art Club,"Programming, Data Analysis, Artistic, Problem Solving, Public Speaking",Ladakh,Sophomore,Psychology,6.8,"Spanish, English, French, Chinese, Japanese","Coding Club, Volunteer Group",Mathematics,Female
Sports Team,"Leadership, Problem Solving, Public Speaking, Programming",Lakshadweep,Freshman,Mathematics,6.3,"English, German","Sports Team, Coding Club, Art Club, Volunteer Group, Debate Club",Biology,Male
Coding Club,"Leadership, Artistic, Problem Solving, Data Analysis, Public Speaking, Programming",Puducherry,Freshman,History,4.36,"English, Spanish, German, Chinese, Japanese",Debate Club,Biology,Female
Volunteer Group,"Leadership, Artistic, Programming",Bihar,Freshman,History,7.66,"Spanish, Japanese, English, French","Coding Club, Volunteer Group, Art Club, Music Club, Debate Club, Sports Team",Mathematics,Female
Music Club,"Public Speaking, Data Analysis, Problem Solving, Leadership, Programming, Artistic",Chhattisgarh,Sophomore,Biology,5.04,"French, German, English, Spanish","Volunteer Group, Art Club, Music Club",Mathematics,Male
Debate Club,"Leadership, Problem Solving, Programming",Goa,Graduate,History,6.74,"English, Japanese, French, Chinese, German, Spanish","Music Club, Coding Club, Debate Club, Sports Team, Volunteer Group",History,Male
Music Club,"Problem Solving, Artistic",Gujarat,Senior,History,4.52,"Japanese, German","Music Club, Sports Team, Volunteer Group, Coding Club, Debate Club",History,Female
Coding Club,"Artistic, Leadership",Haryana,Graduate,Biology,6.82,"English, Japanese, Spanish, Chinese","Volunteer Group, Debate Club, Sports Team, Coding Club, Art Club, Music Club",Mathematics,Female
Music Club,"Problem Solving, Public Speaking, Programming, Artistic",Himachal Pradesh,Sophomore,History,5.82,"English, French, Spanish, Japanese, Chinese","Sports Team, Art Club, Music Club, Debate Club",History,Male
Art Club,"Public Speaking, Problem Solving, Programming, Leadership",Jharkhand,Graduate,Mathematics,5.88,"French, Japanese, Chinese","Coding Club, Sports Team, Debate Club",Computer science,Female
Coding Club,"Data Analysis, Artistic, Public Speaking, Leadership",Karnataka,Graduate,Physics,4.2,"German, Japanese",Music Club,History,Male
Sports Team,Leadership,Kerala,Junior,Computer Science,5.26,"English, Japanese, German","Debate Club, Art Club, Music Club, Volunteer Group",Computer science,Female
Music Club,"Problem Solving, Public Speaking, Programming, Artistic, Leadership",Madhya Pradesh,Junior,History,7.14,Japanese,Coding Club,Computer science,Male
Coding Club,"Leadership, Programming, Problem Solving, Artistic, Data Analysis, Public Speaking",Maharashtra,Sophomore,Mathematics,7.54,"Japanese, French, English, German, Spanish, Chinese","Sports Team, Debate Club, Music Club",Computer science,Male
Sports Team,"Public Speaking, Data Analysis, Leadership, Programming",Manipur,Sophomore,Physics,5.24,"Chinese, German, English","Music Club, Debate Club, Art Club",Computer science,Male
Debate Club,"Problem Solving, Public Speaking, Artistic, Leadership, Data Analysis, Programming",Meghalaya,Graduate,Psychology,7.54,"French, Spanish, Chinese, German, Japanese, English",Volunteer Group,Mathematics,Female
Art Club,"Artistic, Data Analysis, Programming, Problem Solving, Leadership",Mizoram,Senior,Psychology,7.78,"English, Japanese, Spanish, German, French, Chinese","Debate Club, Art Club, Coding Club, Volunteer Group",Mathematics,Female
Art Club,Artistic,Nagaland,Junior,Computer Science,7.36,"English, Chinese, German, Spanish","Music Club, Volunteer Group, Coding Club, Sports Team, Debate Club",Computer science,Male
Debate Club,"Artistic, Problem Solving",Odisha,Senior,Psychology,6.62,Japanese,"Music Club, Volunteer Group",Biology,Female
Volunteer Group,Programming,Punjab,Graduate,Computer Science,7.88,"French, German, English, Chinese, Japanese, Spanish","Debate Club, Coding Club, Sports Team, Volunteer Group",Mathematics,Male
Sports Team,"Public Speaking, Artistic, Leadership, Problem Solving, Programming, Data Analysis",Rajasthan,Sophomore,History,5.46,"Japanese, French, English, Spanish","Volunteer Group, Debate Club, Sports Team, Coding Club, Art Club",Biology,Male
Art Club,"Leadership, Programming, Public Speaking",Sikkim,Freshman,History,4.68,"French, Spanish, English, Chinese, Japanese, German","Coding Club, Music Club, Volunteer Group, Art Club, Sports Team",History,Female
Coding Club,"Programming, Artistic",Tamil Nadu,Graduate,Psychology,4.1,"Spanish, English, French, Japanese, German",Sports Team,History,Female
Music Club,"Artistic, Public Speaking",Telangana,Freshman,Mathematics,6.38,"English, Japanese, Spanish, German, Chinese",Art Club,Biology,Male
Coding Club,"Problem Solving, Data Analysis",Tripura,Sophomore,Computer Science,6.68,"German, Spanish, French, Chinese, Japanese, English","Debate Club, Music Club, Sports Team, Art Club, Volunteer Group",Biology,Female
Coding Club,Programming,Uttar Pradesh,Graduate,Physics,7.52,"French, Spanish, Chinese, German",Art Club,Computer science,Female
Sports Team,Programming,Uttarakhand,Sophomore,Computer Science,5.08,"English, Japanese, Chinese","Sports Team, Art Club, Debate Club, Volunteer Group, Music Club",History,Male
Coding Club,"Artistic, Public Speaking, Leadership, Programming, Data Analysis, Problem Solving",West Bengal,Sophomore,Psychology,5.96,"Japanese, Spanish","Art Club, Debate Club, Coding Club, Volunteer Group",Mathematics,Male
Music Club,"Problem Solving, Data Analysis, Programming, Leadership",Andhra Pradesh,Sophomore,Mathematics,5.42,"Japanese, French, English, Chinese, Spanish",Coding Club,Mathematics,Female
Coding Club,"Leadership, Public Speaking, Problem Solving, Programming, Artistic, Data Analysis",Arunachal Pradesh,Junior,Computer Science,5.52,"Japanese, Spanish","Debate Club, Art Club, Coding Club, Volunteer Group, Sports Team, Music Club",Computer science,Male
Volunteer Group,"Artistic, Problem Solving, Leadership, Public Speaking",Assam,Senior,Physics,4.34,"French, Chinese, Japanese, English, German, Spanish","Music Club, Volunteer Group, Sports Team",Biology,Male
Debate Club,"Artistic, Programming, Data Analysis, Leadership",Andaman & Nicobar Islands,Graduate,Psychology,4.86,"English, Japanese","Art Club, Music Club, Coding Club",History,Female
Volunteer Group,"Public Speaking, Programming, Artistic, Problem Solving, Data Analysis",Chandigarh,Graduate,History,7.36,"Chinese, English, German, Spanish","Debate Club, Coding Club, Music Club, Art Club, Sports Team, Volunteer Group",Computer science,Male
Music Club,"Problem Solving, Programming, Leadership",Dadra & Nagar Haveli and Daman & Diu,Junior,Computer Science,5.96,"Japanese, German, English, French","Volunteer Group, Debate Club, Music Club, Art Club, Sports Team, Coding Club",Biology,Male
Volunteer Group,"Data Analysis, Programming",Delhi,Freshman,History,6.22,German,Sports Team,Computer science,Female
Music Club,"Artistic, Leadership, Data Analysis, Programming",Jammu & Kashmir,Sophomore,Biology,7.12,"Japanese, Chinese","Sports Team, Coding Club, Art Club, Debate Club, Music Club, Volunteer Group",Computer science,Female
Art Club,"Data Analysis, Public Speaking, Artistic",Ladakh,Junior,History,5.28,"Japanese, French, German, Chinese, English, Spanish","Music Club, Coding Club, Debate Club, Sports Team, Volunteer Group",History,Male
Volunteer Group,"Problem Solving, Public Speaking, Leadership",Lakshadweep,Graduate,Psychology,5.0,"French, English, Spanish, German, Chinese","Volunteer Group, Sports Team, Debate Club, Music Club",Mathematics,Male
Coding Club,"Problem Solving, Public Speaking, Leadership, Programming, Data Analysis, Artistic",Puducherry,Junior,Physics,4.38,"German, English",Sports Team,History,Female
Debate Club,"Artistic, Leadership",Bihar,Freshman,Physics,7.72,"Spanish, German, Japanese","Volunteer Group, Coding Club, Music Club, Sports Team, Art Club",Computer science,Female
Sports Team,"Data Analysis, Problem Solving",Chhattisgarh,Freshman,Physics,4.86,"German, Chinese, Spanish, Japanese, English, French","Music Club, Volunteer Group, Sports Team, Debate Club",Biology,Female
Music Club,"Programming, Leadership, Data Analysis, Artistic",Goa,Junior,Computer Science,5.72,"Spanish, French, German, Chinese, English","Volunteer Group, Coding Club, Music Club, Debate Club, Art Club, Sports Team",History,Female
Sports Team,"Data Analysis, Artistic, Public Speaking, Programming, Leadership, Problem Solving",Gujarat,Graduate,Physics,6.98,"Spanish, English",Debate Club,Mathematics,Male
Music Club,"Public Speaking, Artistic, Data Analysis, Leadership, Programming, Problem Solving",Haryana,Freshman,Psychology,4.42,"Chinese, English","Music Club, Debate Club, Volunteer Group, Coding Club, Sports Team",History,Female
Coding Club,"Data Analysis, Leadership, Artistic",Himachal Pradesh,Senior,History,4.26,"French, Japanese, English, German","Music Club, Volunteer Group, Sports Team",History,Female
Coding Club,"Problem Solving, Public Speaking, Artistic, Leadership, Programming",Jharkhand,Sophomore,Physics,4.68,French,"Coding Club, Volunteer Group, Debate Club, Music Club, Sports Team, Art Club",History,Male
Volunteer Group,"Data Analysis, Problem Solving, Artistic",Karnataka,Senior,Psychology,6.84,"French, English, Chinese","Sports Team, Volunteer Group",Computer science,Female
Coding Club,"Problem Solving, Artistic, Public Speaking, Programming, Data Analysis",Kerala,Freshman,Biology,4.86,"Spanish, Chinese, French, Japanese, German","Music Club, Volunteer Group",History,Male
Sports Team,Programming,Madhya Pradesh,Graduate,Computer Science,7.92,"Spanish, English",Coding Club,Computer science,Female
Music Club,"Public Speaking, Artistic, Problem Solving, Leadership, Data Analysis",Maharashtra,Sophomore,Computer Science,5.84,"English, German","Debate Club, Volunteer Group, Art Club",Biology,Female
Debate Club,"Problem Solving, Data Analysis",Manipur,Graduate,Computer Science,5.86,"Chinese, French, Japanese, German, English","Art Club, Coding Club, Music Club, Volunteer Group, Sports Team, Debate Club",History,Female
Debate Club,Programming,Meghalaya,Junior,Computer Science,4.64,"German, Chinese, Spanish, English, French, Japanese","Sports Team, Volunteer Group, Music Club",History,Male
Volunteer Group,"Problem Solving, Data Analysis, Leadership, Programming",Mizoram,Sophomore,Physics,4.56,"German, Spanish, Japanese, French, Chinese, English",Coding Club,History,Male
Music Club,"Programming, Data Analysis, Public Speaking",Nagaland,Junior,Mathematics,6.6,"Chinese, German, Spanish, Japanese, French, English","Sports Team, Volunteer Group",Mathematics,Female
Sports Team,"Data Analysis, Public Speaking, Programming",Odisha,Sophomore,Computer Science,7.68,Japanese,"Music Club, Volunteer Group",Computer science,Male
Sports Team,Artistic,Punjab,Senior,Biology,7.38,"Chinese, German, Spanish, Japanese","Music Club, Debate Club, Sports Team",Mathematics,Male
Art Club,"Leadership, Programming",Rajasthan,Senior,Biology,6.42,"Japanese, Chinese, English, Spanish, French","Music Club, Art Club",Biology,Male
Debate Club,"Data Analysis, Public Speaking, Artistic, Leadership, Problem Solving",Sikkim,Graduate,Physics,6.62,"Japanese, German, French","Volunteer Group, Music Club",Biology,Male
Music Club,Leadership,Tamil Nadu,Graduate,Mathematics,6.52,French,"Sports Team, Music Club",Biology,Male
Debate Club,"Programming, Data Analysis, Leadership, Artistic, Problem Solving, Public Speaking",Telangana,Junior,History,5.5,German,"Art Club, Debate Club, Music Club, Sports Team",Biology,Male
Music Club,"Leadership, Public Speaking, Problem Solving, Artistic, Programming",Tripura,Graduate,Physics,7.78,"Japanese, French, Spanish","Music Club, Debate Club, Volunteer Group",Computer science,Female
Art Club,"Data Analysis, Problem Solving, Artistic, Public Speaking, Programming",Uttar Pradesh,Graduate,History,5.44,"French, Chinese, German, English","Volunteer Group, Music Club, Coding Club, Debate Club",Biology,Female
Music Club,"Leadership, Artistic, Data Analysis, Programming, Problem Solving",Uttarakhand,Senior,History,5.06,"Chinese, English, French, German","Volunteer Group, Music Club, Coding Club, Sports Team, Debate Club",Biology,Male
Art Club,"Programming, Leadership, Artistic, Public Speaking, Data Analysis, Problem Solving",West Bengal,Freshman,Mathematics,7.62,Spanish,"Sports Team, Music Club, Debate Club, Art Club, Coding Club",Computer science,Female
Sports Team,"Problem Solving, Artistic, Data Analysis, Public Speaking, Leadership, Programming",Andhra Pradesh,Graduate,History,5.48,English,"Volunteer Group, Coding Club, Sports Team, Debate Club, Music Club, Art Club",Computer science,Female
Music Club,"Programming, Public Speaking, Data Analysis, Problem Solving",Arunachal Pradesh,Junior,Biology,7.88,"Spanish, French","Art Club, Coding Club, Debate Club",Computer science,Female
Debate Club,Leadership,Assam,Freshman,Mathematics,7.38,"Japanese, German, English",Volunteer Group,Computer science,Female
Music Club,"Problem Solving, Leadership, Public Speaking, Artistic, Data Analysis",Andaman & Nicobar Islands,Graduate,Psychology,4.92,"Japanese, Spanish, German, Chinese, French","Volunteer Group, Coding Club, Art Club",Biology,Male
Sports Team,"Programming, Problem Solving, Data Analysis, Artistic",Chandigarh,Sophomore,Psychology,6.42,"Japanese, German, English, French, Chinese, Spanish","Music Club, Volunteer Group, Art Club, Coding Club, Debate Club, Sports Team",History,Female
